theta_deg,controller,training_seed,checkpoint_sha256
3,ppo,0,137AC256BC1EBD46471139575CA60D28193FA870BD1658497984187696A21974
3,ppo,1,B9031552A142100883369A73E831250E9616DBFA4D520A6EE0E49563C497B249
3,ppo,2,A02453216CE7E1422E52E84D2A4D787980E26D3F1CEB522B9172482986E1EC52
3,ppo_shield,0,F9B675FE53C62E03C0D5F548C04541EB704140F1F6F7DC8822E7CC75C83BB7C6
3,ppo_shield,1,943B9638F2DCE25C53B58B86B1F8C10956A24DFF374B9196653ACA0855DC5C03
3,ppo_shield,2,4BD91903E4D3A748DB5EDE06F12095A69B28199DEA3DC3E652F137812480F361
5,ppo,0,493E4760A920032D58324936549F8DD251A9063582E4E2A829FE2C646E091F7B
5,ppo,1,D16F13DC3885453A1F52567D3D2A002EB4D0382BE375D03A8E73A6B17E414F7A
5,ppo,2,E53834E9BF3027961DB9545EAB7545D1C00FE753D9055E1EB231F21AE8F3958C
5,ppo_shield,0,9261CF9FB0A48598F1EF5CD55DC43757E9FA3BA73272990E4D1E05D2B2A47939
5,ppo_shield,1,AB93B2560B7BBF98E8BD6895534AD719B1ACE28F3F785443096213BEEE81A807
5,ppo_shield,2,66590AF25A51293CA7531CDAE79E6D7AF67E461FD67C8FE0F5FBA60EB7388FCB
