scope,metric,difference,seed_block_ci_low,seed_block_ci_high,three_seed_t_ci_low,three_seed_t_ci_high,final_status
aggregate,effective_win_rate,0.0933333333,-0.236666667,0.370000000,-0.683266018,0.869932685,UNRESOLVED_ACROSS_TRAINING_SEEDS
aggregate,own_wez_occupancy,0.00975626863,0.00449951733,0.0164325832,-0.00590102245,0.0254135597,UNRESOLVED_ACROSS_TRAINING_SEEDS
aggregate,opponent_wez_exposure,-0.00110899955,-0.00403463764,0.00186935424,-0.00847019334,0.00625219423,UNRESOLVED_ACROSS_TRAINING_SEEDS
aggregate,max_g,0.203730035,-0.553588743,0.944778585,-1.68667948,2.09413955,UNRESOLVED_ACROSS_TRAINING_SEEDS
aggregate,g_integral,15.4598494,-201.935927,232.762250,-541.101559,572.021258,UNRESOLVED_ACROSS_TRAINING_SEEDS
aggregate,shield_rate,0.00224571296,0,0.00638756885,-0.00741681002,0.0119082359,UNRESOLVED_ACROSS_TRAINING_SEEDS
theta_5,effective_win_rate,0.120,-0.193,0.527,-0.824,1.064,UNRESOLVED_ACROSS_TRAINING_SEEDS
theta_5,own_wez_occupancy,0.01743819,-0.00264,0.03122,-0.02676,0.06164,UNRESOLVED_ACROSS_TRAINING_SEEDS
theta_5,opponent_wez_exposure,-0.00163822,-0.00673,0.00419,-0.01523,0.01195,UNRESOLVED_ACROSS_TRAINING_SEEDS
theta_5,max_g,0.281096,-0.0465,0.6286,-0.5467,1.1089,UNRESOLVED_ACROSS_TRAINING_SEEDS
theta_5,g_integral,-65.9449703,-118.302617,-14.2622387,-94.0525457,-37.8373949,ROBUST_NEGATIVE
theta_5,shield_rate,0.00449,0,0.01282,-0.01483,0.02382,UNRESOLVED_ACROSS_TRAINING_SEEDS
