theta_deg,controller,seed,split,episodes,wins,losses,ties,effective_win_rate,effective_win_rate_ci95_low,effective_win_rate_ci95_high,WEZ_occupancy_mean,sustained_ATA_deg_mean,time_to_merge_s_mean,G_exposure_integral_mean,max_G_mean,mean_ATA_blue_deg_mean,min_distance_m_mean,shield_intervention_rate_mean,shield_intervention_count_mean,steps_mean,total_reward_mean,done_cause_counts_json,veto_reasons_counts_json,maneuver_transitions_counts_json
1,dqn,0,eval,50,1,0,49,0.51,0.37143479224567233,0.6485652077543277,0.0006450651769087523,0.5896526260093371,12.54,1137.2501092427106,11.057682787072052,37.51399239799482,101.3844474069811,0.0,0.0,274.72,3192.103509676955,"{""blue_kill"": 1, ""collision"": 4, ""not_done"": 45}",{},"{""0->0"": 36, ""0->1"": 4, ""0->2"": 8, ""0->3"": 3, ""0->4"": 51, ""0->5"": 25, ""0->6"": 18, ""0->7"": 1, ""1->0"": 1, ""1->1"": 9, ""1->2"": 4, ""1->3"": 2, ""1->4"": 7, ""1->5"": 1, ""2->0"": 42, ""2->1"": 3, ""2->2"": 762, ""2->3"": 62, ""2->4"": 293, ""2->5"": 9, ""2->6"": 17, ""2->7"": 11, ""3->0"": 6, ""3->1"": 5, ""3->2"": 129, ""3->3"": 131, ""3->4"": 7, ""3->5"": 5, ""3->6"": 1, ""4->0"": 30, ""4->1"": 2, ""4->2"": 267, ""4->3"": 10, ""4->4"": 9434, ""4->5"": 258, ""4->6"": 155, ""4->7"": 31, ""5->0"": 27, ""5->2"": 7, ""5->3"": 71, ""5->4"": 181, ""5->5"": 782, ""5->6"": 38, ""5->7"": 8, ""6->0"": 4, ""6->1"": 1, ""6->2"": 25, ""6->3"": 1, ""6->4"": 199, ""6->5"": 32, ""6->6"": 332, ""6->7"": 5, ""7->2"": 4, ""7->3"": 8, ""7->4"": 30, ""7->5"": 9, ""7->6"": 5, ""7->7"": 77}"
1,dqn,0,train,174,17,15,142,0.5057471264367817,0.43145842608402446,0.5800358267895388,0.001097716830875704,0.624350070576417,12.78735632183908,1190.1540302995666,12.006336106537695,70.39308019457627,124.82910669423504,0.0,0.0,287.735632183908,2008.858138209309,"{""blue_kill"": 17, ""blue_safety_violation"": 8, ""collision"": 2, ""not_done"": 140, ""red_kill"": 7}",{},"{""0->0"": 549, ""0->1"": 121, ""0->2"": 293, ""0->3"": 191, ""0->4"": 592, ""0->5"": 210, ""0->6"": 150, ""0->7"": 205, ""1->0"": 149, ""1->1"": 284, ""1->2"": 185, ""1->3"": 162, ""1->4"": 467, ""1->5"": 165, ""1->6"": 138, ""1->7"": 182, ""2->0"": 401, ""2->1"": 272, ""2->2"": 3819, ""2->3"": 535, ""2->4"": 1024, ""2->5"": 344, ""2->6"": 256, ""2->7"": 249, ""3->0"": 248, ""3->1"": 185, ""3->2"": 732, ""3->3"": 1098, ""3->4"": 435, ""3->5"": 246, ""3->6"": 181, ""3->7"": 163, ""4->0"": 439, ""4->1"": 411, ""4->2"": 970, ""4->3"": 551, ""4->4"": 20537, ""4->5"": 894, ""4->6"": 702, ""4->7"": 764, ""5->0"": 203, ""5->1"": 177, ""5->2"": 336, ""5->3"": 311, ""5->4"": 814, ""5->5"": 1715, ""5->6"": 299, ""5->7"": 274, ""6->0"": 118, ""6->1"": 138, ""6->2"": 256, ""6->3"": 164, ""6->4"": 802, ""6->5"": 231, ""6->6"": 938, ""6->7"": 215, ""7->0"": 150, ""7->1"": 150, ""7->2"": 327, ""7->3"": 276, ""7->4"": 672, ""7->5"": 282, ""7->6"": 194, ""7->7"": 1351}"
1,dqn,1,eval,50,3,3,44,0.5,0.3614070708874367,0.6385929291125634,0.001412507156355112,0.7383373068164674,12.86,1206.514160207524,12.435178485665867,55.628605922664626,115.40852234910882,0.0,0.0,283.28,2621.2424231401337,"{""blue_kill"": 3, ""blue_safety_violation"": 3, ""collision"": 1, ""not_done"": 43}",{},"{""0->0"": 156, ""0->1"": 15, ""0->2"": 4, ""0->3"": 27, ""0->4"": 30, ""0->5"": 13, ""0->6"": 22, ""0->7"": 64, ""1->0"": 25, ""1->1"": 84, ""1->2"": 2, ""1->3"": 13, ""1->4"": 43, ""1->5"": 3, ""1->6"": 18, ""1->7"": 26, ""2->0"": 12, ""2->1"": 27, ""2->2"": 547, ""2->3"": 173, ""2->4"": 35, ""2->5"": 122, ""2->6"": 53, ""2->7"": 31, ""3->0"": 24, ""3->1"": 46, ""3->2"": 201, ""3->3"": 1121, ""3->4"": 55, ""3->5"": 88, ""3->6"": 14, ""3->7"": 84, ""4->0"": 8, ""4->1"": 6, ""4->2"": 25, ""4->3"": 41, ""4->4"": 928, ""4->5"": 78, ""4->6"": 99, ""4->7"": 79, ""5->0"": 30, ""5->1"": 18, ""5->2"": 118, ""5->3"": 57, ""5->4"": 77, ""5->5"": 6465, ""5->6"": 226, ""5->7"": 27, ""6->0"": 33, ""6->1"": 11, ""6->2"": 48, ""6->3"": 20, ""6->4"": 33, ""6->5"": 247, ""6->6"": 919, ""6->7"": 57, ""7->0"": 29, ""7->1"": 8, ""7->2"": 58, ""7->3"": 185, ""7->4"": 67, ""7->5"": 29, ""7->6"": 24, ""7->7"": 886}"
1,dqn,1,train,182,19,12,151,0.5192307692307693,0.44664208569334135,0.5918194527681973,0.0020953660444439533,0.6722344240688123,12.873626373626374,1204.6987244507736,11.928340741109421,64.31830852205066,103.9129822261853,0.0,0.0,274.75824175824175,1984.0994606681852,"{""blue_kill"": 19, ""blue_safety_violation"": 8, ""collision"": 7, ""not_done"": 144, ""red_kill"": 4}",{},"{""0->0"": 311, ""0->1"": 108, ""0->2"": 132, ""0->3"": 173, ""0->4"": 297, ""0->5"": 337, ""0->6"": 128, ""0->7"": 270, ""1->0"": 114, ""1->1"": 289, ""1->2"": 140, ""1->3"": 173, ""1->4"": 334, ""1->5"": 312, ""1->6"": 126, ""1->7"": 306, ""2->0"": 196, ""2->1"": 243, ""2->2"": 1824, ""2->3"": 425, ""2->4"": 441, ""2->5"": 734, ""2->6"": 235, ""2->7"": 309, ""3->0"": 190, ""3->1"": 247, ""3->2"": 622, ""3->3"": 2234, ""3->4"": 384, ""3->5"": 499, ""3->6"": 158, ""3->7"": 329, ""4->0"": 207, ""4->1"": 227, ""4->2"": 368, ""4->3"": 422, ""4->4"": 4091, ""4->5"": 862, ""4->6"": 342, ""4->7"": 618, ""5->0"": 314, ""5->1"": 345, ""5->2"": 696, ""5->3"": 529, ""5->4"": 758, ""5->5"": 17897, ""5->6"": 634, ""5->7"": 604, ""6->0"": 134, ""6->1"": 121, ""6->2"": 210, ""6->3"": 185, ""6->4"": 309, ""6->5"": 614, ""6->6"": 965, ""6->7"": 318, ""7->0"": 247, ""7->1"": 212, ""7->2"": 423, ""7->3"": 528, ""7->4"": 538, ""7->5"": 596, ""7->6"": 275, ""7->7"": 2615}"
1,dqn,2,eval,50,9,0,41,0.59,0.453670763223731,0.7263292367762689,0.002756307122957869,0.6486165557792787,12.5,1072.1987395020153,10.757845214699508,40.183369149412876,103.07973692321379,0.0,0.0,272.6,2964.8636748481185,"{""blue_kill"": 8, ""collision"": 3, ""not_done"": 38, ""red_safety_violation"": 1}",{},"{""0->0"": 1, ""0->3"": 1, ""0->5"": 1, ""0->7"": 1, ""1->1"": 6, ""1->2"": 3, ""1->5"": 4, ""1->7"": 3, ""2->1"": 4, ""2->2"": 643, ""2->3"": 24, ""2->4"": 27, ""2->5"": 104, ""2->6"": 14, ""2->7"": 13, ""3->0"": 1, ""3->2"": 69, ""3->3"": 352, ""3->4"": 8, ""3->5"": 53, ""3->6"": 4, ""3->7"": 5, ""4->0"": 2, ""4->1"": 1, ""4->2"": 7, ""4->3"": 5, ""4->4"": 566, ""4->5"": 104, ""4->6"": 7, ""4->7"": 65, ""5->1"": 3, ""5->2"": 99, ""5->3"": 58, ""5->4"": 85, ""5->5"": 10797, ""5->6"": 8, ""5->7"": 25, ""6->1"": 1, ""6->2"": 12, ""6->3"": 4, ""6->4"": 4, ""6->5"": 9, ""6->6"": 55, ""6->7"": 7, ""7->1"": 1, ""7->2"": 1, ""7->3"": 52, ""7->4"": 22, ""7->5"": 37, ""7->6"": 4, ""7->7"": 198}"
1,dqn,2,train,176,1,20,155,0.4460227272727273,0.3725841582554589,0.5194612962899957,0.0004066124205013094,0.6623589748030728,12.954285714285714,989.013303341936,11.17445828120696,83.94527779621168,123.86247427055865,0.0,0.0,285.45454545454544,1558.769272773661,"{""blue_kill"": 1, ""blue_safety_violation"": 15, ""collision"": 1, ""not_done"": 154, ""red_kill"": 5}",{},"{""0->0"": 492, ""0->1"": 130, ""0->2"": 411, ""0->3"": 181, ""0->4"": 208, ""0->5"": 328, ""0->6"": 169, ""0->7"": 192, ""1->0"": 108, ""1->1"": 345, ""1->2"": 378, ""1->3"": 146, ""1->4"": 182, ""1->5"": 234, ""1->6"": 176, ""1->7"": 204, ""2->0"": 478, ""2->1"": 426, ""2->2"": 12403, ""2->3"": 836, ""2->4"": 566, ""2->5"": 1103, ""2->6"": 615, ""2->7"": 604, ""3->0"": 199, ""3->1"": 132, ""3->2"": 1116, ""3->3"": 2238, ""3->4"": 230, ""3->5"": 451, ""3->6"": 180, ""3->7"": 214, ""4->0"": 203, ""4->1"": 165, ""4->2"": 518, ""4->3"": 295, ""4->4"": 2327, ""4->5"": 501, ""4->6"": 243, ""4->7"": 386, ""5->0"": 277, ""5->1"": 262, ""5->2"": 967, ""5->3"": 556, ""5->4"": 474, ""5->5"": 9828, ""5->6"": 318, ""5->7"": 362, ""6->0"": 157, ""6->1"": 137, ""6->2"": 674, ""6->3"": 162, ""6->4"": 244, ""6->5"": 286, ""6->6"": 943, ""6->7"": 252, ""7->0"": 182, ""7->1"": 177, ""7->2"": 607, ""7->3"": 332, ""7->4"": 382, ""7->5"": 335, ""7->6"": 214, ""7->7"": 1623}"
1,dqn,3,eval,50,3,0,47,0.53,0.39165676308543307,0.668343236914567,0.001100426826906456,0.710556014792753,12.3,1166.466499235339,11.259673071646768,42.682649558850265,129.45714353329018,0.0,0.0,298.54,3093.678515148933,"{""blue_kill"": 3, ""not_done"": 47}",{},"{""0->0"": 9, ""0->2"": 1, ""0->3"": 3, ""0->6"": 1, ""0->7"": 9, ""1->0"": 5, ""1->1"": 69, ""1->2"": 5, ""1->3"": 4, ""1->4"": 17, ""1->5"": 92, ""1->6"": 31, ""1->7"": 6, ""2->0"": 4, ""2->1"": 11, ""2->2"": 531, ""2->3"": 28, ""2->4"": 9, ""2->5"": 135, ""2->6"": 21, ""2->7"": 40, ""3->0"": 3, ""3->1"": 9, ""3->2"": 88, ""3->3"": 361, ""3->4"": 10, ""3->5"": 16, ""3->6"": 1, ""3->7"": 9, ""4->0"": 1, ""4->1"": 8, ""4->2"": 15, ""4->3"": 54, ""4->4"": 689, ""4->5"": 73, ""4->6"": 15, ""4->7"": 16, ""5->1"": 92, ""5->2"": 88, ""5->3"": 16, ""5->4"": 70, ""5->5"": 11391, ""5->6"": 116, ""5->7"": 15, ""6->0"": 1, ""6->1"": 37, ""6->2"": 18, ""6->3"": 2, ""6->4"": 15, ""6->5"": 91, ""6->6"": 268, ""6->7"": 21, ""7->1"": 3, ""7->2"": 37, ""7->3"": 29, ""7->4"": 18, ""7->5"": 22, ""7->6"": 4, ""7->7"": 124}"
1,dqn,3,train,183,21,16,146,0.5136612021857924,0.4412445627850013,0.5860778415865834,0.001970612297359588,0.6886351701834353,12.617486338797814,1104.6618759259484,11.504792896018063,71.2579635292393,113.96090083140285,0.0,0.0,274.09289617486337,1787.1921235581633,"{""blue_kill"": 20, ""blue_safety_violation"": 12, ""collision"": 3, ""not_done"": 143, ""red_kill"": 4, ""red_safety_violation"": 1}",{},"{""0->0"": 235, ""0->1"": 113, ""0->2"": 234, ""0->3"": 189, ""0->4"": 187, ""0->5"": 237, ""0->6"": 216, ""0->7"": 220, ""1->0"": 133, ""1->1"": 286, ""1->2"": 233, ""1->3"": 162, ""1->4"": 243, ""1->5"": 306, ""1->6"": 220, ""1->7"": 214, ""2->0"": 284, ""2->1"": 322, ""2->2"": 5376, ""2->3"": 486, ""2->4"": 511, ""2->5"": 870, ""2->6"": 446, ""2->7"": 626, ""3->0"": 197, ""3->1"": 167, ""3->2"": 734, ""3->3"": 2063, ""3->4"": 292, ""3->5"": 389, ""3->6"": 254, ""3->7"": 320, ""4->0"": 148, ""4->1"": 206, ""4->2"": 472, ""4->3"": 320, ""4->4"": 2568, ""4->5"": 754, ""4->6"": 346, ""4->7"": 474, ""5->0"": 240, ""5->1"": 317, ""5->2"": 792, ""5->3"": 378, ""5->4"": 684, ""5->5"": 15669, ""5->6"": 418, ""5->7"": 565, ""6->0"": 153, ""6->1"": 185, ""6->2"": 373, ""6->3"": 264, ""6->4"": 374, ""6->5"": 378, ""6->6"": 1565, ""6->7"": 514, ""7->0"": 215, ""7->1"": 199, ""7->2"": 729, ""7->3"": 518, ""7->4"": 414, ""7->5"": 518, ""7->6"": 346, ""7->7"": 2115}"
1,ppo,0,eval,50,33,0,17,0.83,0.7258799001152995,0.9341200998847005,0.005926189479612008,0.6362126613038985,12.5,1172.9056778123133,9.798486784658904,54.81985883922488,59.56429415483502,0.0,0.0,259.42,1659.7775175691377,"{""blue_kill"": 33, ""collision"": 1, ""not_done"": 16}",{},"{""4->4"": 12921}"
1,ppo,0,train,175,22,1,152,0.56,0.48645428088596865,0.6335457191140315,0.0018799037036833033,0.6789782118947162,12.542857142857143,1284.4547143330874,9.709389943548569,64.8539492022708,55.66614933785998,0.0,0.0,286.25142857142856,1307.6290351598386,"{""blue_kill"": 22, ""blue_safety_violation"": 1, ""collision"": 8, ""not_done"": 144}",{},"{""0->0"": 23, ""0->1"": 19, ""0->2"": 36, ""0->3"": 56, ""0->4"": 192, ""0->5"": 90, ""0->6"": 91, ""0->7"": 35, ""1->0"": 38, ""1->1"": 28, ""1->2"": 37, ""1->3"": 38, ""1->4"": 295, ""1->5"": 145, ""1->6"": 139, ""1->7"": 47, ""2->0"": 21, ""2->1"": 41, ""2->2"": 53, ""2->3"": 55, ""2->4"": 304, ""2->5"": 151, ""2->6"": 149, ""2->7"": 68, ""3->0"": 47, ""3->1"": 41, ""3->2"": 52, ""3->3"": 69, ""3->4"": 400, ""3->5"": 231, ""3->6"": 231, ""3->7"": 98, ""4->0"": 194, ""4->1"": 288, ""4->2"": 324, ""4->3"": 417, ""4->4"": 12591, ""4->5"": 4317, ""4->6"": 3424, ""4->7"": 1326, ""5->0"": 84, ""5->1"": 157, ""5->2"": 145, ""5->3"": 215, ""5->4"": 4364, ""5->5"": 3864, ""5->6"": 2218, ""5->7"": 686, ""6->0"": 98, ""6->1"": 144, ""6->2"": 129, ""6->3"": 235, ""6->4"": 3370, ""6->5"": 2335, ""6->6"": 2267, ""6->7"": 471, ""7->0"": 36, ""7->1"": 49, ""7->2"": 72, ""7->3"": 79, ""7->4"": 1371, ""7->5"": 589, ""7->6"": 531, ""7->7"": 209}"
